prompt,embedding_similarity
Which of the therapies listed below is no longer used to treat patients?,0.8832074
Vance's therapist believes Vance is psychotic. From which of the following medications would he most likely believe Vance would benefit?,0.86785066
"Lisa, determined to get away from her abusive father, leaves home and moves in with an abusive boyfriend. Lisa's choice of an abusive boyfriend is most relevant to Sigmund Freud's theory of",0.863179
The minimum amount of physical energy needed for a person to notice a stimulus is called a(n),0.8553893
Which of the following is a stimulant medication used to treat attention-deficit/ hyperactivity disorder (ADHD)?,0.854417
A population frequently studied to best assess the relative effects of nature vs. nurture is,0.8779556
People who suffer from major depression often have very low levels of which neurotransmitter?,0.8451904
"A research participant eats half a bowl of M&M candies, and then stops eating. How would a motivation researcher using drive reduction theory explain this participant's behavior?",0.8601723
A teacher attempts to encourage reading by exempting students from some homework assignments for each book they read. Which of the following terms best describes the behavior modification technique applied by the teacher?,0.8672196
"If the College Board neglected to put any questions that had to do with neuroscience on the AP Psychology exam one year, the test would lack",0.8542285
"To act consistently with the group's behavior, Etan changed what he was doing. This illustrates",0.8527037
"As the time for the AP Psychology exam approached, several students in the class who had not been doing homework or attending classes earlier in the term became more concerned about studying and attending regularly. Their motivation seems to be",0.8592165
Stimulation of norepinephrine receptors appears to produce,0.87681055
"Which of the following subsystems of the autonomic nervous system help the body return to ""business-as-usual"" after an emergency?",0.8547472
"You enter a bakery and are delighted by the aroma. After a short time, however, you no longer notice the odors because of sensory",0.8552999
Which psychoactive drugs are most frequently prescribed to relieve pain?,0.8586151
The instrument that has traditionally been used in sleep research to assess activity in the brain is called the,0.84043103
A researcher has asked participants to complete a questionnaire that will assess how frequently in their lives they experience various emotions using a scale from 1 (never) to 5 (very often). The researcher is particularly interested in the relationship between feelings of guilt and other emotions. This researcher is most likely conducting which of the following types of research?,0.84606034
Four-year-old Kate positions herself squarely in front of all the other kids to watch a magician. Piaget would attribute this to Kate's,0.88099515
What is the purpose of the Diagnostic and Statistical Manual of Mental Disorders?,0.8544054
All of the following are examples of secondary drives EXCEPT,0.874468
"People generally send higher contributions to charities when check-off boxes on the response card the charity sends to donors suggest $25, $35, $50, other; rather than $10, $15, $25, other. This illustrates the",0.8515934
"Although many studies regarding the effects of a particular herb on memory have been conducted, results of any one study have been inconclusive. An overall conclusion might be reached by performing",0.86737967
Which approach emphasizes that therapists can effectively help their clients by offering unconditional positive regard?,0.8448462
"Your girlfriend dumps you. ""I knew you shouldn't have gone out with her,"" says your best friend, who has never uttered this sentiment before. Your friend's comment best illustrates",0.85813934
A math teacher refuses to look at the grades her students received in the past in math classes. The teacher is worried that looking at their past grades might influence the ways she reacts to her students. What effect is the teacher trying to avoid?,0.8685249
Faye believes that victims of natural disasters are foolish because they should have developed better advance detection and warning systems. Faye is manifesting the,0.8707236
"""Behavior is personality"" best characterizes which of the following personality theories?",0.861143
The fact that Will was better able to memorize his lines in the school play after finding out the meanings behind the words best illustrates the influence of,0.87395203
Which of the following conditions best characterizes the focus of a behavioral model of school intervention?,0.890083
Which of the following endocrine glands is NOT paired with a hormone that it produces?,0.86305654
Which of the following drugs is classified as a stimulant?,0.8846719
"School psychologists serve a variety of clients, including students, parents, and systems. When individuals involved in a case cannot agree or have a conflict of interest, it is the responsibility of the school psychologist to first advocate for the needs of the",0.8641708
Why are psychoanalysts sometimes interested in talking with a patient about dreams?,0.8614067
